Name,URI,Artist,Release Year,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
Thinkin’ Bout Me,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,Morgan Wallen,2023,contemporary country,0.659,0.789,3,-5.723,0,0.0293,0.487,0,0.115,0.468,139.982,177388,4
20201203,spotify:track:1xxKHsbfPc2xzGLpEXpt55,Mac DeMarco,2023,"edmonton indie, lo-fi indie, pov: indie, slacker rock",0.785,0.0604,10,-14.132,1,0.0799,0.73,0.708,0.113,0.445,136.904,258522,4
Love,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,Keyshia Cole,2005,"hip pop, r&b, urban contemporary",0.688,0.518,5,-4.285,1,0.0283,0.0642,0,0.1,0.314,116.714,255333,4
If I Saw You Again (2024 Remaster),spotify:track:3XJC8vRhbtm3NzHXE1XAta,Pages,1978,"deep soft rock, yacht rock",0.757,0.425,0,-13.619,0,0.0364,0.226,2.2e-05,0.21,0.854,109.532,204521,4
Bbl Drizzy,spotify:track:7pSsX2zIEgNQ7bZLpZPgqL,TokenAngel,2024,Unknown,0.713,0.833,5,-6.587,0,0.181,0.103,0,0.0884,0.715,149.968,204893,4
CS,spotify:track:64b4ElrrZOEp3H1Pac2lG6,Lil Uzi Vert,2023,"hip hop, melodic rap, philly rap, rage rap, rap, trap",0.418,0.758,3,-5.914,1,0.0407,0.000174,0.00107,0.13,0.202,127.907,212041,4
Papercut,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,Linkin Park,2000,"alternative metal, nu metal, post-grunge, rap metal, rock",0.524,0.939,9,-3.994,1,0.113,0.00022,0,0.623,0.661,150.184,184867,4
Fences,spotify:track:4aICBAAFGF3pLSZDlmsMj9,Paramore,2007,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",0.452,0.82,11,-4.508,0,0.0325,0.00153,0,0.21,0.838,202.108,198973,4
meet the grahams,spotify:track:4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar,2024,"conscious hip hop, hip hop, rap, west coast rap",0.479,0.802,5,-6.252,1,0.309,0.55,0.00045,0.11,0.602,74.98,392139,4
Praise Jah In The Moonlight,spotify:track:7ueuqvQkKA9k1Pys0hB5br,YG Marley,2024,Unknown,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,263040,4
No Interruption,spotify:track:2yJVeT8cP1zstJxRP7Nlv8,Hoodie Allen,2012,indie pop rap,0.497,0.706,1,-6.455,1,0.0667,0.227,0,0.224,0.55,103.0,215241,4
Living Like This,spotify:track:0m4sXekK0cmzFMQZu4VFWS,Vibe Chemistry,2021,uk dance,0.721,0.624,10,-5.154,0,0.0697,0.072,0.00746,0.28,0.271,172.018,270967,4
Push Ups,spotify:track:3eh51r6rFWAlGQRlHx9QnQ,Drake,2024,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057,232774,4
Family Matters,spotify:track:1wFFFzJ5EsKbBWZriAcubN,Drake,2024,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.527,0.492,1,-9.774,1,0.279,0.0047,0,0.306,0.234,164.005,456934,4
You Were Right,spotify:track:5H4sJFZZjKakgTzyEVmvGX,RÜFÜS DU SOL,2016,"australian electropop, indietronica",0.708,0.793,5,-5.426,0,0.0342,0.0136,0.00221,0.118,0.734,122.006,239418,4
Hero (feat. Josey Scott),spotify:track:779ooI3rBd0CLqCiiJmtVo,Chad Kroeger,2003,Unknown,0.427,0.843,4,-4.54,1,0.0364,0.00216,0,0.179,0.304,147.387,200480,3
Just Can't Win 'Em All,spotify:track:4qxf4bj8lNkOGA23lEUZkR,Stevie Woods,1981,deep soft rock,0.735,0.701,1,-8.45,0,0.0353,0.316,2.58e-06,0.313,0.695,125.357,250947,4
These Words,spotify:track:7leW1Dmvs9A4oDh9i5Qwpz,Badger,2024,bassline,0.595,0.989,5,-2.695,1,0.0736,0.017,0,0.321,0.223,129.989,136580,4
Bongoloco,spotify:track:3k45oaugo4fin6M1KrtO8f,Bruno Furlan,2023,"brazilian edm, brazilian tech house, tech house",0.797,0.665,2,-7.613,1,0.106,0.00501,0.75,0.0789,0.0741,128.045,206250,4
Tickets to Rio,spotify:track:2ZVt9P6UkceyHrrP42S37t,Brian Elliot,1978,"deep soft rock, yacht rock",0.693,0.767,2,-11.127,1,0.0624,0.2,0,0.0537,0.876,116.969,166162,4
euphoria,spotify:track:77DRzu7ERs0TX3roZcre7Q,Kendrick Lamar,2024,"conscious hip hop, hip hop, rap, west coast rap",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,383639,4
Moonlight,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,2018,"lithuanian edm, lithuanian electronic",0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957,173067,4
Suit & Tie,spotify:track:6dEnpbXyamib2EJnRhTt0G,Justin Timberlake,2013,"dance pop, pop",0.795,0.596,11,-3.799,0,0.219,0.103,0,0.164,0.357,101.985,326280,4
The Other Side,spotify:track:5FljCWR0cys07PQ9277GTz,Jason Derulo,2013,"dance pop, pop",0.561,0.836,9,-3.939,1,0.1,0.0525,0,0.136,0.517,127.923,226987,4
Good Directions,spotify:track:7GQjJEwqlp6m5HNWVQd6OR,Billy Currington,2005,"contemporary country, country, country road",0.716,0.72,5,-2.183,1,0.031,0.307,0,0.135,0.48,122.441,215853,4
MILLION DOLLAR BABY,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,Tommy Richman,2024,chill abstract hip hop,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,155152,4
Sunsleeper,spotify:track:35lxsi9U65JKT03Voj2Dl5,Barry Can't Swim,2023,jazz house,0.64,0.909,2,-5.79,0,0.0351,0.00729,0.928,0.108,0.58,124.006,222183,4
Stay,spotify:track:3I4Wq2tvrxSE2XD4Y11P2i,JSTEF,2024,Unknown,0.673,0.715,9,-6.0,1,0.0312,0.0718,0.0021,0.112,0.651,139.973,182571,4
A Part Of Me,spotify:track:01S8BozuIqOAmksvdZdV1X,U Know?,2024,Unknown,0.676,0.965,2,-5.76,0,0.039,0.00388,0.641,0.243,0.115,127.971,151875,4
Stuck On Repeat,spotify:track:0Ib2lnmQqbAzuHNkGtYtNC,Beau,2022,uk tech house,0.725,0.808,5,-6.302,1,0.0375,0.00128,0.0667,0.126,0.771,125.502,186479,4
We Are The People - southstar Remix,spotify:track:3vLMN02wGnPBdjRVvewedS,Empire Of The Sun,2023,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",0.72,0.843,7,-6.401,1,0.0383,0.00142,0.0899,0.117,0.123,149.974,236069,4
GET IN,spotify:track:2dR3ydAu2XGjM8KhFuZiWd,Thouxanbanfauni,2024,"atl hip hop, cloud rap, melodic rap, plugg",0.563,0.454,7,-9.057,0,0.0737,0.492,0.0107,0.131,0.163,140.116,137247,4
Too Sweet,spotify:track:4IadxL6BUymXlh8RCJJu7T,Hozier,2024,"irish singer-songwriter, modern rock, pov: indie",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
"yes, and?",spotify:track:5D34wRmbFS29AjtTOP2QJe,Ariana Grande,2024,pop,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998,214994,4
"Check Yes, Juliet",spotify:track:7N2PNxzZXxCdAHiAfsklhT,We The Kings,2007,"neon pop punk, piano rock, pop punk",0.352,0.912,7,-4.253,1,0.0725,0.00197,0,0.193,0.351,166.795,220147,4
"If I'm James Dean, You're Audrey Hepburn",spotify:track:2D4LEUzvLRCQOLMxnajH72,Sleeping With Sirens,2010,"neon pop punk, pop emo, pop punk, screamo",0.426,0.936,8,-5.52,0,0.0828,2.1e-05,0,0.926,0.416,158.038,219107,4
All I Ask,spotify:track:6DEMMeWXfmFAXgDUMMzeg6,Adele,2015,"british soul, pop, pop soul, uk pop",0.591,0.28,4,-5.494,1,0.0283,0.889,0,0.124,0.348,141.916,271800,4
Heartbroken (feat. Jessie Murph & Polo G),spotify:track:6NdnvPwQvZb147DVa4x14h,Diplo,2023,"dance pop, edm, electro house, moombahton, pop dance",0.67,0.589,2,-5.693,1,0.0873,0.379,0,0.0942,0.628,146.978,204325,4
All I Wanted,spotify:track:0Hn1xO9n8xb8r5BgeHH1Qi,Hannah Cohen,2019,nyc pop,0.579,0.349,8,-11.095,0,0.0274,0.906,0.000478,0.21,0.345,140.021,286282,4
Valentina,spotify:track:2ax9yh9o3eJWbJZbF8tDvj,Dreamer Isioma,2019,"alternative r&b, modern indie pop",0.717,0.372,11,-12.878,0,0.0278,0.374,0.296,0.117,0.735,90.323,128640,4
Green Light (feat. André 3000),spotify:track:72by3Re4C3eVEBXvsUo0zV,John Legend,2008,"neo soul, pop, pop soul, urban contemporary",0.622,0.882,9,-5.59,0,0.119,0.0912,0,0.216,0.762,77.506,284187,4
Don't You Cry,spotify:track:0sEkSDwCxjik95zgWLuzd5,Sunday Scaries,2024,Unknown,0.647,0.834,7,-5.279,0,0.0342,0.0748,0.305,0.0833,0.0478,128.001,246758,4
On My Mind (Jorja Smith X Preditah),spotify:track:1OxL1FWSEd7QmJoWLRP2NO,Jorja Smith,2017,"r&b, uk contemporary r&b",0.71,0.662,10,-5.947,0,0.175,0.42,0,0.0723,0.755,130.037,181510,4
Fireworks (feat. Moss Kena & The Knocks),spotify:track:154YAkNQuFHLV3LbP7gP1f,Purple Disco Machine,2021,"deep house, house",0.753,0.792,1,-5.292,0,0.0427,0.0072,3.38e-06,0.174,0.788,118.035,200016,4
Everyday Hustle,spotify:track:3Vg7nPYlOrCkcV1abKbRQ1,Future,2024,"atl hip hop, hip hop, rap, southern hip hop, trap",0.557,0.704,6,-5.641,0,0.39,0.0595,0,0.676,0.378,179.494,226947,3
Drink N Dance,spotify:track:0SdpzQRdK8BdSV57rn6AZZ,Future,2024,"atl hip hop, hip hop, rap, southern hip hop, trap",0.766,0.598,7,-6.339,0,0.043,0.172,2.66e-05,0.123,0.326,124.915,220627,4
Love,spotify:track:2JCFm7pOuEP0cItCq6t3bd,BUNT.,2023,stutter house,0.579,0.903,3,-9.45,0,0.053,0.187,0.177,0.166,0.453,131.95,170568,4
BABYDOLL X The Perfect Girl,spotify:track:4l2cqDnmuWOSHrnQL0N75o,fam0uz,2022,sped up,0.637,0.679,3,-7.264,0,0.0413,0.00192,0.00272,0.591,0.71,119.956,134296,4
"If You Leave - From ""Pretty In Pink""",spotify:track:05oFyvdztPdpwSwpoclD4c,Orchestral Manoeuvres In The Dark,2009,"new romantic, new wave, new wave pop, permanent wave, synthpop",0.635,0.684,0,-11.687,1,0.0329,0.088,0.156,0.0755,0.892,120.269,268547,4
Feel It - From The Original Series “Invincible”,spotify:track:3SAga35lAPYdjj3qyfEsCF,d4vd,2024,bedroom pop,0.565,0.593,8,-5.864,1,0.0883,0.0288,0,0.215,0.429,120.509,157974,4
I Love You So,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,2014,"chicago indie, pov: indie",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,160240,4
Vienna,spotify:track:4U45aEWtQhrm8A5mxPaFZ7,Billy Joel,1977,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,214240,4
Vienna,spotify:track:3TBKrVTg9NFJKrFpjwUay4,The Fray,2005,"neo mellow, piano rock, pop, pop rock",0.443,0.476,5,-7.253,0,0.0285,0.795,0.000179,0.113,0.142,124.194,231067,3
Gole Yakh,spotify:track:1C8RHwk3q455M7hpihnzJJ,Kourosh Yaghmaei,1976,"classic persian pop, persian rock",0.41,0.553,9,-6.707,0,0.0269,0.84,0.000254,0.171,0.489,171.542,306760,4
Confidence,spotify:track:7to68V64Cu6zk0UDo5tyw3,Ocean Alley,2018,"australian reggae fusion, australian surf rock",0.59,0.562,11,-9.607,0,0.0505,0.0637,0,0.105,0.561,140.835,253077,4
Chateau (Feel Alright),spotify:track:3vjs2MDHoF9xhylNg6Y9un,Djo,2019,"pov: indie, psychedelic pop",0.641,0.365,7,-11.765,1,0.027,0.434,8.49e-06,0.297,0.343,134.874,272157,4
Pain,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,PinkPantheress,2021,bedroom pop,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,98544,4
Dancing On My Own - Radio Edit,spotify:track:7g13jf3zqlP5S68Voo5v9m,Robyn,2010,"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop",0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,278080,4
Trouble Sleeping,spotify:track:7m8PDR3PRg5lPhWMdYrktc,Corinne Bailey Rae,2006,"british soul, neo soul, pop soul, soul",0.636,0.55,5,-6.905,0,0.0237,0.14,0,0.0763,0.535,90.97,208733,4
Abigail,spotify:track:75NgXlkXMMtUI9611uR5kX,Frankie Cosmos,2022,"bedroom pop, bubblegrunge, indie pop",0.489,0.727,9,-8.3,1,0.0346,0.287,0.585,0.142,0.487,128.561,113936,4
Dancing Fingers,spotify:track:4NN5RgVYp4aIVPGGj7UjL0,Bauen,2023,Unknown,0.803,0.668,2,-10.834,0,0.0759,0.0127,0.772,0.0569,0.414,123.995,341803,4
Like A Star,spotify:track:5Anh8jULgeUgciLHCR25Mk,Corinne Bailey Rae,2006,"british soul, neo soul, pop soul, soul",0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711,243213,4
dark days,spotify:track:02Cp3VTUWNed8hr69BhKz6,21 Savage,2024,"atl hip hop, hip hop, rap",0.68,0.583,2,-5.351,0,0.174,0.229,1.37e-05,0.139,0.134,82.477,295073,4
Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,2020,"canadian contemporary r&b, canadian pop, pop",0.679,0.825,0,-5.487,1,0.0309,0.0212,1.21e-05,0.543,0.644,118.049,215627,4
Lose Control,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,2023,Unknown,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
Holding Back the Years - 2008 Remaster,spotify:track:1yg7fwwYmx9DQ2TdXUmfpJ,Simply Red,1985,"british soul, new romantic, new wave, new wave pop, soft rock, sophisti-pop",0.71,0.514,9,-8.885,0,0.0278,0.58,0.000159,0.0953,0.517,86.02,269840,4
HOLDIN' ON,spotify:track:6MaIMR1Dearuvq60zy6MTa,Pangeaux,2023,cincinnati rap,0.797,0.504,5,-11.21,0,0.0306,0.817,0.00376,0.107,0.948,110.98,126067,4
Austin (Boots Stop Workin'),spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,2024,Unknown,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4
Say My Name,spotify:track:3GYlQmwfBDo7imFyGPhrl7,Dimitri Vegas & Like Mike,2020,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house",0.729,0.788,10,-4.832,0,0.0908,0.0703,0,0.115,0.857,118.039,159536,4
